active;barcode;cost_method;standard_price;description;description_purchase;description_picking;description_pickingout;description_pickingin;description_sale;sale_delay;di_categorie_id;di_calibre_id;di_des;di_marque_id;di_origine_id;image;image_small;image_medium;color;message_last_post;di_lavage;di_station_id;purchase_line_warn_msg;sale_line_warn_msg;property_cost_method;activity_summary;name;hs_code;purchase_ok;rental;sale_ok;weight;purchase_method;invoice_policy;price;list_price;di_prixmax;di_prixmin;lst_price;expense_policy;default_code;service_type;tracking;sequence;type;di_un_prix;di_un_saisie;valuation;property_valuation
True;1230000000016;standard;0.0;;;;;;;0.0;;;;;FRANCE;;;;0;;False;;;;Prix standard;;AIL ROSE LABEL ROUGE 5KG 60/80;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10016;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000017;standard;0.0;;;;;;;0.0;;;;;FRANCE;;;;0;;False;;;;Prix standard;;AIL ROSE LABEL ROUGE 5KG 70/90;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10017;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000018;standard;0.0;;;;;;;0.0;;;;;EGYPTE;;;;0;;False;;;;Prix standard;;AIL VIOLET  FRAIS EGYPTE 5KG;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10018;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000019;standard;0.0;;;;;;;0.0;;;;;FRANCE;;;;0;;False;;;;Prix standard;;AIL VIOLET FRAIS FRANCE 4KG;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10019;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000020;standard;0.0;;;;;;;0.0;;;;;FRANCE;;;;0;;False;;;;Prix standard;;AIL VIOLET FRAIS FRANCE 5KG;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10020;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000021;standard;0.0;;;;;;;0.0;;;;;FRANCE;;;;0;;False;;;;Prix standard;;AIL VIOLET TRESS 1KX10 CADOUR;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10021;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Pièce;Colis;manual_periodic;Périodique (manuel)
True;1230000000022;standard;0.0;;;;;;;0.0;;;;;TUNISIE;;;;0;;False;;;;Prix standard;;AMANDES COQUE 5KG TUNISIE;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10022;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000023;standard;0.0;;;;;;;0.0;;;;;TUNISIE;;;;0;;False;;;;Prix standard;;AMANDES FRAICHE 5KG TUNISIE;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10023;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000024;standard;0.0;;;;;;;0.0;;;;;CAMEROUN;;;;0;;False;;;;Prix standard;;ANANAS AVION A6 CAMEROUN;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10024;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000025;standard;0.0;;;;;;;0.0;;;;;CAMEROUN;;;;0;;False;;;;Prix standard;;ANANAS AVION B12 CAMEROUN;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10025;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
True;1230000000026;standard;0.0;;;;;;;0.0;;;;;GHANA;;;;0;;False;;;;Prix standard;;ANANAS AVION B6 GHANA;;True;False;True;1.0;Sur les quantités reçues;Qtés livrées;0.0;0.0;0.0;0.0;0.0;Non;10026;Mettre manuellement les quantités sur la commande;Par lots;1;Produit stockable;Kg;Colis;manual_periodic;Périodique (manuel)
